"Title","ID","Created Date","Updated Date","Owner","key","label","description","categoryCode","vehicleCategoryId","seasonKey","minDays","maxDays","pricePerDay","sortOrder","active","publicVisible"
,"01a4c1b8-3a2b-4c76-b04a-d1d8a3f298b0",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_8_14","A Low 8-14","Κατηγορία A / Low Season / 8-14 ημέρες","A",,"low_season",8,14,17,30,true,true
,"0cc702a9-deca-4db0-8e82-395c32c2857b",2026-03-16T10:39:24Z,2026-03-16T10:39:24Z,"4139a8c1-c961-498e-9512-465437a7bf6c","medium","B Medium 3 μέρες",,"B","81e5ca63-92d3-4a82-ac49-987dfb6d4b9e","mid_season",1,3,23,9999,true,true
,"0d93382a-c040-4b56-ac90-3fdec9455ef9",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_15_21","A Low 15-21","Κατηγορία A / Low Season / 15-21 ημέρες","A",,"low_season",15,21,16,40,true,true
,"1fbc2084-ed14-40cb-abf9-2b1795fdedeb",2026-03-15T22:38:33Z,2026-03-15T22:51:09Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_4_7","A Low 4-7","Κατηγορία A / Low Season / 4-7 ημέρες","A","46362b25-3bbb-4d22-826d-48ae404e5e85","low_season",4,7,18,20,true,true
,"2da479cb-5326-4eba-87da-a0dc323e1819",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_4_7","A High 4-7","Κατηγορία A / High Season / 4-7 ημέρες","A",,"high_season",4,7,31,80,true,true
,"542db299-4e48-4e64-a479-377f93fe3764",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_1_3","A High 1-3","Κατηγορία A / High Season / 1-3 ημέρες","A",,"high_season",1,3,34,70,true,true
,"5eb3533c-0cd0-46b5-8857-9e8d58737f40",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_30_plus","A Low 30+","Κατηγορία A / Low Season / 30+ ημέρες","A",,"low_season",30,0,14,60,true,true
,"6e990db6-abed-4d48-8a27-516372803f37",2026-03-16T10:38:29Z,2026-03-16T10:38:29Z,"4139a8c1-c961-498e-9512-465437a7bf6c","low","B LOW 3 ΜΕΡΕΣ",,"B","81e5ca63-92d3-4a82-ac49-987dfb6d4b9e","low_season",1,3,20,9999,true,true
,"a6a5779a-85ba-4b02-9097-b060c0149c37",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_22_30","A Low 22-30","Κατηγορία A / Low Season / 22-30 ημέρες","A",,"low_season",22,30,15,50,true,true
,"ad28d16b-c3ca-450f-8657-52efb323ff04",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_15_21","A High 15-21","Κατηγορία A / High Season / 15-21 ημέρες","A",,"high_season",15,21,27,100,true,true
,"d327bddd-e972-4be3-8cd6-6da6d3664fa9",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_22_30","A High 22-30","Κατηγορία A / High Season / 22-30 ημέρες","A",,"high_season",22,30,26,110,true,true
,"e19e156b-add5-40d6-bc57-4fb92a656d96",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_30_plus","A High 30+","Κατηγορία A / High Season / 30+ ημέρες","A",,"high_season",30,0,24,120,true,true
,"e447e1df-9f71-4151-8e3d-8a709f6e933a",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_low_1_3","A Low 1-3","Κατηγορία A / Low Season / 1-3 ημέρες","A",,"low_season",1,3,20,10,true,true
,"efcecc08-e7a1-413b-a90c-04042669e42f",2026-03-15T22:38:33Z,2026-03-15T22:38:33Z,"284e089f-48c1-4969-b018-a9add65901a8","a_high_8_14","A High 8-14","Κατηγορία A / High Season / 8-14 ημέρες","A",,"high_season",8,14,29,90,true,true
