"Title","ID","Created Date","Updated Date","Owner","key","label","description","locationType","address","mapUrl","extraFee","sortOrder","active","publicVisible","Stationkey","pickupInfoLabel","pickupInfoPlaceholder","showOriginField","originFieldLabel","originFieldPlaceholder","dropoffInfoLabel","dropoffInfoPlaceholder"
,"1514a8fc-8690-4f29-b8de-415cf514bb74",2026-03-22T09:59:56Z,2026-04-04T12:57:35Z,"4139a8c1-c961-498e-9512-465437a7bf6c","ktel_thessaloniki_dropoff","ΚΤΕΛ Θεσσαλονίκης","Παραλαβή / παράδοση στον σταθμό ΚΤΕΛ.","dropoff","Σταθμός ΚΤΕΛ Μακεδονία, Θεσσαλονίκη",,25,40,true,true,"default",,,,,,,
,"461e4bcb-abb9-415a-a47b-bb61c8011beb",2026-03-15T22:56:27Z,2026-04-04T12:58:09Z,"284e089f-48c1-4969-b018-a9add65901a8","hotel_delivery_pickup","Παράδοση σε ξενοδοχείο","Παράδοση / παραλαβή σε ξενοδοχείο εντός πόλης.","pickup","Θεσσαλονίκη",,25,50,true,true,"default",,,,,,,
,"4ad387f3-6096-4659-8b8a-1575019e0343",2026-03-15T22:56:27Z,2026-04-04T12:57:42Z,"284e089f-48c1-4969-b018-a9add65901a8","ktel_thessaloniki_pickup","ΚΤΕΛ Θεσσαλονίκης","Παραλαβή / παράδοση στον σταθμό ΚΤΕΛ.","pickup","Σταθμός ΚΤΕΛ Μακεδονία, Θεσσαλονίκη",,25,40,true,true,"default",,,,,,,
,"832a21ee-b84f-4b25-8ecf-0e27cb694002",2026-03-22T10:01:29Z,2026-04-04T12:57:52Z,"4139a8c1-c961-498e-9512-465437a7bf6c","hotel_delivery_dropoff","Παράδοση σε ξενοδοχείο","Παράδοση / παραλαβή σε ξενοδοχείο εντός πόλης.","dropoff","Θεσσαλονίκη",,25,50,true,true,"default",,,,,,,
,"8d8b21f6-6a1d-414f-b222-5557e8e41038",2026-03-15T22:56:27Z,2026-04-04T12:57:10Z,"284e089f-48c1-4969-b018-a9add65901a8","thessaloniki_airport","Αεροδρόμιο Θεσσαλονίκης","Παραλαβή / παράδοση στο αεροδρόμιο SKG.","both","Κρατικός Αερολιμένας Θεσσαλονίκης Μακεδονία, Θεσσαλονίκη",,0,10,true,true,"default",,,,,,,
,"8dfc413a-bdd6-456d-b50f-29174471aab1",2026-03-22T10:03:04Z,2026-04-04T12:58:17Z,"4139a8c1-c961-498e-9512-465437a7bf6c","port_thessaloniki_dropoff","Λιμάνι Θεσσαλονίκης",,"dropoff","Λιμάνι Θεσσαλονίκης",,25,60,true,true,"default",,,,,,,
,"bf373ce6-0161-4c0f-93e9-d8e376a2fe24",2026-03-22T10:08:44Z,2026-04-04T12:58:50Z,"4139a8c1-c961-498e-9512-465437a7bf6c","ose_thessaloniki_dropoff","ΟΣΕ Θεσσαλονίκης",,"dropoff","Σιδηροδρομικός Σταθμός Θεσσαλονίκης",,25,70,true,true,"default",,,,,,,
,"c2860a49-2ee7-460a-bdf4-3b366068f937",2026-04-04T10:58:15Z,2026-04-04T15:39:15Z,"4139a8c1-c961-498e-9512-465437a7bf6c","airport_ath","Αεροδρόμιο Αθήνας",,"both","Αεροδρόμιο Ελευθέριος Βενιζέλος",,0,9999,true,true,"ath",,,,,,,
,"cf72043c-8104-4b28-9853-29863c8de94d",2026-03-16T07:41:24Z,2026-04-04T12:58:26Z,"4139a8c1-c961-498e-9512-465437a7bf6c","port_thessaloniki_pickup","Λιμάνι Θεσσαλονίκης",,"pickup","Λιμάνι Θεσσαλονίκης",,25,60,true,true,"default",,,,,,,
,"dd0bb313-76aa-4dce-9f2c-aeed3bccc98b",2026-03-16T07:40:25Z,2026-04-04T12:58:35Z,"4139a8c1-c961-498e-9512-465437a7bf6c","ose_thessaloniki_pickup","ΟΣΕ Θεσσαλονίκης",,"pickup","Σιδηροδρομικός Σταθμός Θεσσαλονίκης",,25,70,true,true,"default",,,,,,,
,"ebb125a2-bdae-489c-87e1-5bc86581d185",2026-03-16T07:42:43Z,2026-04-04T12:57:17Z,"4139a8c1-c961-498e-9512-465437a7bf6c","city_center_office_dropoff","Κέντρο Θεσσαλονίκης","Παραλαβή / παράδοση από το κεντρικό σημείο εξυπηρέτησης.","dropoff","Θεσσαλονίκη, Κέντρο",,25,20,true,true,"default",,,,,,,
,"fe8e4bc4-9b1b-4dba-9369-d83ac7a68271",2026-03-15T22:56:27Z,2026-04-04T12:57:27Z,"284e089f-48c1-4969-b018-a9add65901a8","city_center_office_pickup","Κέντρο Θεσσαλονίκης","Παραλαβή / παράδοση από το κεντρικό σημείο εξυπηρέτησης.","pickup","Θεσσαλονίκη, Κέντρο",,25,20,true,true,"default",,,,,,,
